Name	Start	Duration	Time Format	Type	Description
6階の民	0:00.000	0:00.000	decimal	Cue	
Vichy	2:04.093	0:00.000	decimal	Cue	
フランスの生活	20:30.716	0:00.000	decimal	Cue	
脱毛の話	26:03.232	0:00.000	decimal	Cue	
ヴィシー振り返り	26:29.290	0:00.000	decimal	Cue	
ベルリン旅行	38:55.148	0:00.000	decimal	Cue	
黒歴史	45:23.210	0:00.000	decimal	Cue	
日本で旅行	51:08.281	0:00.000	decimal	Cue	
しーちゃんままへ	1:05:45.835	0:00.000	decimal	Cue	
ヒッチハイク	1:17:28.509	0:00.000	decimal	Cue	
フランスとドイツの違い	1:32:28.099	0:00.000	decimal	Cue	
隔離	1:41:20.930	0:00.000	decimal	Cue	
えぴろーぐ	1:49:40.587	0:00.000	decimal	Cue	
