Name	Start	Duration	Time Format	Type	Description
Yousician	0:00.000	0:00.000	decimal	Cue	
雪	0:56.346	0:00.000	decimal	Cue	
MPG	6:01.003	0:00.000	decimal	Cue	
YouTube編集	7:16.628	0:00.000	decimal	Cue	
W杯の注目ポイントを教えてください	14:06.599	0:00.000	decimal	Cue	
ここは押さえておけ！	20:56.770	0:00.000	decimal	Cue	
日本の同グループ	25:30.000	0:00.000	decimal	Cue	
他グループ	44:21.548	0:00.000	decimal	Cue	
やっぱり優勝候補？ブラジル	54:54.940	0:00.000	decimal	Cue	
注目はグループH	1:03:13.551	0:00.000	decimal	Cue	
みんなの注目試合	1:09:20.173	0:00.000	decimal	Cue	
