Name	Start	Duration	Time Format	Type	Description
W杯の思い出	0:00.000	0:00.000	decimal	Cue	
カタール机上旅行	4:31.218	0:00.000	decimal	Cue	
スケジュールどうする？	8:41.026	0:00.000	decimal	Cue	
激高フライト	20:37.930	0:00.000	decimal	Cue	
宿（大）問題	24:34.193	0:00.000	decimal	Cue	
サウジアラビアの宿	30:43.597	0:00.000	decimal	Cue	
宿発見？	32:45.615	0:00.000	decimal	Cue	
宿問題解決（？）	35:47.923	0:00.000	decimal	Cue	
ドーハ開催	40:09.578	0:00.000	decimal	Cue	
予算	41:34.811	0:00.000	decimal	Cue	
カタール開催の問題	43:26.790	0:00.000	decimal	Cue	
今後	58:06.133	0:00.000	decimal	Cue	
