Name	Start	Duration	Time Format	Type	Description
エンディング	1:57:58.431	0:00.000	decimal	Cue	
FKKカット	1:53:16.155	0:00.000	decimal	Cue	
楽しみ	1:48:30.099	0:00.000	decimal	Cue	
カット	1:47:27.866	0:00.000	decimal	Cue	
オフレコ	1:44:53.847	0:00.000	decimal	Cue	
ここまで調べ物	1:21:53.488	0:00.000	decimal	Cue	
聞き直し	1:11:24.103	0:00.000	decimal	Cue	
固体のエネルギー	1:07:59.447	0:00.000	decimal	Cue	
咳	1:05:01.052	0:00.000	decimal	Cue	
エネルギー	58:53.719	0:00.000	decimal	Cue	
せき	53:18.363	0:00.000	decimal	Cue	
被り	46:41.770	0:00.000	decimal	Cue	
すぐるの「聴く力」	44:43.871	0:00.000	decimal	Cue	
質問：英語	42:29.281	0:00.000	decimal	Cue	
この休み	40:48.257	0:00.000	decimal	Cue	
オフレコ	38:40.813	0:00.000	decimal	Cue	
タバコ	37:21.211	0:00.000	decimal	Cue	
うえしょうから	36:40.094	0:00.000	decimal	Cue	
学んだこと	35:16.315	0:00.000	decimal	Cue	
せき	30:32.662	0:00.000	decimal	Cue	
一番大変だったこと	29:17.507	0:00.000	decimal	Cue	
買い上げ	27:36.674	0:00.000	decimal	Cue	
人間関係	15:27.008	0:00.000	decimal	Cue	
すぐるせき	10:29.211	0:00.000	decimal	Cue	
ロッテルダム	9:16.057	0:00.000	decimal	Cue	
旅順	9:04.857	0:00.000	decimal	Cue	
労務違反	6:57.068	0:00.000	decimal	Cue	
