Name	Start	Duration	Time Format	Type	Description
KaiのPodcastと白ワイン	1:47:10.644	0:00.000	decimal	Cue	
ヨーロッパ	1:45:05.689	0:00.000	decimal	Cue	
報道の自由	1:38:24.547	0:00.000	decimal	Cue	
不完全を前提にする	1:27:30.593	0:00.000	decimal	Cue	
性善説・性悪説	1:15:35.951	0:00.000	decimal	Cue	
現役世代と未来世代	1:04:24.895	0:00.000	decimal	Cue	
カッコ悪い感情と出会う	51:00.563	0:00.000	decimal	Cue	
諦めと分断	47:33.232	0:00.000	decimal	Cue	
学習の痛み	36:39.522	0:00.000	decimal	Cue	
わかったつもり	25:47.775	0:00.000	decimal	Cue	
勉強のきっかけとしてのお酒	19:06.025	0:00.000	decimal	Cue	
現代に残るお酒の必然性	12:20.449	0:00.000	decimal	Cue	
本日のビール	4:07.428	0:00.000	decimal	Cue	
お酒の学校はじめます	0:00.000	0:00.000	decimal	Cue	
