Name	Start	Duration	Time Format	Type	Description
プレミア注目チーム (Gota)	3:42:32.032	0:00.000	decimal	Cue	
プレミア注目チーム (Yuda)	3:34:25.785	0:00.000	decimal	Cue	
若手多め	3:28:15.528	0:00.000	decimal	Cue	
触れ込み	3:26:27.935	0:00.000	decimal	Cue	
MPG: TotonoiFC	2:20:42.915	0:00.000	decimal	Cue	
ふざスケ: サウジが来ると思ってたのにカタールが来てしまった時	2:09:50.040	0:00.000	decimal	Cue	
サウジの最高AirBnb	2:07:22.507	0:00.000	decimal	Cue	
サウジ空想旅行: ホテル	1:49:52.331	0:00.000	decimal	Cue	
サウジ空想旅行: 航空券　	1:38:02.579	0:00.000	decimal	Cue	
アルヒラル	1:28:13.273	0:00.000	decimal	Cue	
※せパハンの今	1:23:03.862	0:00.000	decimal	Cue	
エメルソン	1:16:21.056	0:00.000	decimal	Cue	
※(番外)アルアイン・どこにでもいるバレー	1:12:07.899	0:00.000	decimal	Cue	
アルアハリドバイ（UAE）	1:08:15.004	0:00.000	decimal	Cue	
アルファイサリ（サウジアラビア）	1:03:57.861	0:00.000	decimal	Cue	
フーラド（イラン）	1:01:58.070	0:00.000	decimal	Cue	
アルシャバブ（サウジアラビア）	57:54.457	0:00.000	decimal	Cue	
ナサフ・カルシ（ウズベキスタン）	56:21.444	0:00.000	decimal	Cue	
アル・ラーヤンSC （カタール）	48:24.231	0:00.000	decimal	Cue	
アル・ドゥハイルSC（カタール）	43:50.000	0:00.000	decimal	Cue	
ACL決勝空想旅行: 対戦相手調査	40:35.998	0:00.000	decimal	Cue	
好きなチャント	33:34.163	0:00.000	decimal	Cue	
サッカー人気について改めて	27:45.580	0:00.000	decimal	Cue	
なぜこんなに嬉しいのか	13:47.238	0:00.000	decimal	Cue	
ACL準決勝	3:02.295	0:00.000	decimal	Cue	
久々のフットボール支部	0:00.000	0:00.000	decimal	Cue	
