Name	Start	Duration	Time Format	Type	Description
南葛SC	1:48:36.000	0:00.000	decimal	Cue	
各リーグの推しチーム	1:39:47.705	0:00.000	decimal	Cue	
MPGチーム紹介: 茄子	1:33:28.083	0:00.000	decimal	Cue	
MPGチーム紹介: poli	1:27:29.205	0:00.000	decimal	Cue	
MPGチーム紹介: ETERNAL GYAN	1:18:17.726	0:00.000	decimal	Cue	
MPGチーム紹介: Popeとソンフンミン	1:12:50.000	0:00.000	decimal	Cue	
MPGチーム紹介: LOL	1:06:43.613	0:00.000	decimal	Cue	
MPGチーム紹介: hoge	55:07.416	0:00.000	decimal	Cue	
グーナー初心者	48:54.866	0:00.000	decimal	Cue	
MPGチーム紹介: 全家	43:47.144	0:00.000	decimal	Cue	
今シーズンの見どころ	41:22.326	0:00.000	decimal	Cue	
Gota: FW	35:04.055	0:00.000	decimal	Cue	
Gota: MF	24:43.919	0:00.000	decimal	Cue	
Gota: DF	16:42.710	0:00.000	decimal	Cue	
Gota: GK	10:47.601	0:00.000	decimal	Cue	
Gotaチーム概要	4:47.734	0:00.000	decimal	Cue	
Yudaオープニング	0:00.000	0:00.000	decimal	Cue	
