Name	Start	Duration	Time Format	Type	Description
道を聞かれる	2:14:03.639	0:00.000	decimal	Cue	
都会に集中	2:09:00.829	0:00.000	decimal	Cue	
身近に捉える	1:59:42.368	0:00.000	decimal	Cue	
身近・わらビスタ	1:32:08.722	0:00.000	decimal	Cue	
改正案	1:20:58.342	0:00.000	decimal	Cue	
入管法	1:08:00.640	0:00.000	decimal	Cue	
の前に休憩 (咀嚼音あり)	1:05:34.493	0:00.000	decimal	Cue	
批判という風	30:00.000	0:00.000	decimal	Cue	
スポーツ選手のイメージ利用	19:44.273	0:00.000	decimal	Cue	
ハイボール	18:23.521	0:00.000	decimal	Cue	
オリンピック	4:02.326	0:00.000	decimal	Cue	
声イケメン	0:00.000	0:00.000	decimal	Cue	
