Name	Start	Duration	Time Format	Type	Description
関空で隔離中	0:00.000	0:00.000	decimal	Cue	
このエピソードの目的	1:49.215	0:00.000	decimal	Cue	
ヨーロッパを出るまで	2:42.100	0:00.000	decimal	Cue	
関空到着-検査	9:00.000	0:00.000	decimal	Cue	
水際対策の厳しさ	17:04.615	0:00.000	decimal	Cue	
残された可能性	20:13.419	0:00.000	decimal	Cue	
レンタカーを借りることに	25:14.442	0:00.000	decimal	Cue	
救世主	31:32.799	0:00.000	decimal	Cue	
教訓	32:41.220	0:00.000	decimal	Cue	
入国に際して気をつけるべきこと	34:45.713	0:00.000	decimal	Cue	
日本満喫	40:34.340	0:00.000	decimal	Cue	
今後	48:43.861	0:00.000	decimal	Cue	
関空への提案	49:15.526	0:00.000	decimal	Cue	
