Name	Start	Duration	Time Format	Type	Description
150回もよろしく	2:19:44.428	0:00.000	decimal	Cue	
AV出演被害防止・救済法	1:54:27.555	0:00.000	decimal	Cue	
お悩み: いい◯◯の見分け方	1:43:07.785	0:00.000	decimal	Cue	
鼻の悩み	1:28:47.290	0:00.000	decimal	Cue	
コロナ禍後のマッチングアプリ	1:17:36.502	0:00.000	decimal	Cue	
お悩み:彼女の笑顔が好きです・・・	1:03:24.811	0:00.000	decimal	Cue	
お悩み: 世界情勢と足首の洗い方	57:25.111	0:00.000	decimal	Cue	
悩み相談	52:20.000	0:00.000	decimal	Cue	
他人の話を理解できないのは国語力不足？	33:56.765	0:00.000	decimal	Cue	
誹謗中傷と批判	20:15.848	0:00.000	decimal	Cue	
今日起きたことについて話すこと	1:54.975	0:00.000	decimal	Cue	
Ueshoタイム	0:00.000	0:00.000	decimal	Cue	
